model,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage
Tata Harrier,Grey,Diesel,Manual,747693.24,2024-05-07,2024-05-13,Gujarat,13.6
Tata Punch,Red,Petrol,Manual,2064538.94,2024-06-02,2024-07-30,West Bengal,11.8
Tata Safari,Orange,Electric,Automatic,1303247.72,2024-04-10,2024-04-27,Gujarat,16.2
Tata Nexon,Blue,Petrol,Automatic,633375.1,2024-06-01,2024-07-03,Karnataka,15.9
Tata Harrier,Blue,Electric,Automatic,2440349.72,2024-09-05,2024-10-03,Delhi,20.5
Tata Tigor,Orange,Diesel,Manual,1962870.58,2024-06-12,2024-08-26,Gujarat,18.4
Tata Punch,Silver,CNG,Automatic,819685.48,2024-05-07,2024-07-14,Uttar Pradesh,21.9
Tata Punch,Silver,Electric,Automatic,1852294.67,2024-01-27,2024-04-12,Uttar Pradesh,23.0
Tata Tigor,White,Electric,Automatic,1649342.4,2024-01-05,2024-02-20,Maharashtra,21.6
Tata Harrier,Blue,Petrol,Automatic,1845479.45,2023-12-24,2024-02-21,Maharashtra,10.3
Tata Nexon,Red,Electric,Automatic,2106193.1,2024-05-01,2024-05-06,Gujarat,11.5
Tata Safari,Silver,Electric,Manual,1980260.59,2023-10-01,2023-11-17,Uttar Pradesh,23.4
Tata Safari,Black,CNG,Manual,2394067.7,2024-05-09,2024-05-27,West Bengal,21.0
Tata Punch,Black,Diesel,Automatic,1450757.32,2024-06-03,2024-06-30,Maharashtra,13.0
Tata Harrier,Silver,CNG,Manual,1825218.37,2024-08-14,2024-09-07,Gujarat,16.8
Tata Altroz,Grey,Electric,Manual,2132445.31,2024-08-10,2024-11-03,Gujarat,22.7
Tata Altroz,White,Diesel,Automatic,2169336.13,2024-06-21,2024-08-30,Uttar Pradesh,24.2
Tata Punch,Orange,Diesel,Manual,1021467.31,2023-10-13,2023-11-18,Delhi,23.6
Tata Altroz,White,CNG,Automatic,850854.05,2024-01-06,2024-02-26,Maharashtra,20.9
Tata Nexon,Orange,Electric,Manual,1206689.77,2024-08-29,2024-10-23,Tamil Nadu,14.0
Tata Punch,White,Diesel,Manual,1882760.13,2023-12-08,2024-02-01,Tamil Nadu,23.6
Tata Tiago,White,Diesel,Manual,1405527.74,2024-03-26,2024-05-31,Gujarat,17.3
Tata Punch,Red,CNG,Manual,1612536.6,2024-06-03,2024-08-19,Maharashtra,15.4
Tata Tiago,Blue,CNG,Automatic,2151970.52,2023-12-04,2024-02-13,West Bengal,16.1
Tata Tiago,Orange,Petrol,Automatic,2294499.84,2023-09-29,2023-12-16,Delhi,14.9
Tata Safari,Orange,Electric,Automatic,1120265.05,2024-08-21,2024-09-29,Tamil Nadu,21.2
Tata Tigor,Grey,Electric,Automatic,1511216.68,2023-12-02,2023-12-18,Maharashtra,16.1
Tata Safari,Grey,Electric,Manual,744994.78,2024-08-20,2024-08-29,West Bengal,12.8
Tata Safari,Orange,Petrol,Automatic,1575184.61,2023-10-16,2023-12-08,Karnataka,23.8
Tata Altroz,Blue,CNG,Automatic,1581275.64,2023-12-10,2024-01-05,Gujarat,10.3
Tata Nexon,White,Petrol,Automatic,2216942.0,2024-08-31,2024-09-25,Uttar Pradesh,20.2
Tata Nexon,Red,Petrol,Automatic,2038436.6,2024-02-29,2024-04-29,Maharashtra,22.0
Tata Tiago,Orange,Diesel,Manual,1662751.29,2024-03-05,2024-04-20,Tamil Nadu,15.2
Tata Harrier,Blue,CNG,Manual,1769123.2,2023-11-29,2024-02-25,Gujarat,13.1
Tata Altroz,Red,Diesel,Manual,1887851.31,2023-12-06,2024-02-04,Tamil Nadu,13.4
Tata Tigor,Silver,CNG,Manual,886173.1,2023-11-18,2023-12-31,Karnataka,23.0
Tata Tiago,Silver,Diesel,Automatic,1771079.88,2023-09-21,2023-11-06,Maharashtra,13.4
Tata Tigor,Black,Petrol,Automatic,693499.09,2024-05-13,2024-08-07,West Bengal,15.6
Tata Tiago,Blue,Diesel,Automatic,2361311.46,2023-12-09,2023-12-16,Delhi,13.6
Tata Tigor,White,Electric,Automatic,1647679.56,2023-11-21,2024-02-04,Uttar Pradesh,15.8
Tata Harrier,Blue,Diesel,Automatic,1165300.51,2023-10-09,2023-11-25,Tamil Nadu,21.4
Tata Harrier,Grey,Petrol,Manual,1329850.93,2024-05-26,2024-06-14,Maharashtra,11.5
Tata Safari,White,Petrol,Automatic,1890223.56,2024-09-12,2024-09-17,Delhi,17.2
Tata Altroz,Red,CNG,Manual,1832733.44,2024-05-16,2024-07-08,West Bengal,24.0
Tata Punch,Black,Electric,Manual,1951725.81,2024-04-27,2024-04-30,Karnataka,11.3
Tata Altroz,Black,Electric,Automatic,1920769.6,2023-11-19,2024-01-16,Gujarat,11.1
Tata Nexon,White,Electric,Automatic,1798436.72,2024-08-18,2024-08-27,Gujarat,10.8
Tata Tiago,Black,CNG,Automatic,1246407.95,2024-08-30,2024-11-20,West Bengal,23.2
Tata Harrier,Silver,Petrol,Automatic,1772271.13,2024-07-19,2024-09-27,Uttar Pradesh,20.9
Tata Nexon,Blue,Diesel,Automatic,1355192.22,2023-11-04,2023-12-08,West Bengal,15.5
