model,variant,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,engine_capacity,battery_capacity,charging_time,seating_capacity,ground_clearance,boot_space
Tata Tigor,XM,Green,Diesel,Automatic,788544.21,2023-04-26,2023-07-03,Gujarat,21.3,1.1,0,0,5,195.3,371
Tata Tigor,XZ,Red,Diesel,Automatic,654561.8,2023-09-21,2023-12-29,Odisha,24.4,1.5,0,0,5,207.3,367
Tata Punch,XZ+,Grey,Diesel,Automatic,602477.17,2023-07-16,2023-07-22,Gujarat,22.1,1.0,0,0,5,197.7,285
Tata Punch,XE,Black,Diesel,Manual,689043.67,2023-08-09,2023-11-05,Telangana,18.6,2.0,0,0,5,200.9,383
Tata Punch,XZ,Blue,Diesel,Automatic,739945.43,2024-01-12,2024-07-10,Madhya Pradesh,18.8,1.2,0,0,5,195.3,439
Tata Altroz,XZ,Black,Electric,Manual,807853.81,2023-04-14,2023-05-28,Telangana,22.5,0,34.3,7.3,5,174.2,449
Tata Safari,XZ+ Lux,Black,Diesel,Automatic,1809366.27,2023-04-27,2023-06-28,West Bengal,15.0,1.1,0,0,5,202.0,251
Tata Nexon,XZ+,Red,Petrol,Automatic,726246.67,2024-06-20,2024-07-11,West Bengal,20.4,1.0,0,0,5,182.4,344
Tata Harrier,XZ,Orange,Diesel,Manual,2049303.2,2024-07-23,2024-10-22,West Bengal,14.9,1.3,0,0,5,183.3,252
Tata Altroz,XZ+,White,Electric,Manual,767857.83,2023-09-23,2024-02-22,Kerala,20.3,0,36.6,6.3,5,168.1,292
Tata Nexon,XZ,Bronze,Petrol,Manual,1359500.91,2023-02-26,2023-04-08,Tamil Nadu,21.3,1.5,0,0,5,182.4,253
Tata Punch,XZ,Orange,Petrol,Automatic,971122.71,2024-02-17,2024-05-20,Delhi,20.1,1.6,0,0,5,172.6,268
Tata Harrier,XZ+ Lux,Red,Electric,Manual,1769338.24,2024-06-10,2024-06-30,Maharashtra,15.8,0,32.6,9.1,5,166.8,386
Tata Tigor,XZ+,White,Petrol,Automatic,917112.74,2022-11-18,2023-04-21,Punjab,24.5,1.1,0,0,5,201.1,389
Tata Harrier,XZ+ Lux,Green,Petrol,Manual,2180662.33,2024-03-10,2024-07-10,Telangana,15.7,1.8,0,0,5,193.4,376
Tata Nexon,XM,Orange,Diesel,Automatic,1276653.21,2024-07-13,2024-09-27,Punjab,17.3,1.9,0,0,5,174.8,251
Tata Safari,XZ,Silver,Petrol,Automatic,1827539.88,2023-06-19,2023-10-06,Delhi,15.2,1.9,0,0,5,188.3,276
Tata Tiago,XZ+,Silver,Petrol,Automatic,722922.67,2024-02-15,2024-04-07,Karnataka,23.2,1.0,0,0,5,174.6,251
Tata Harrier,XM,Blue,Petrol,Manual,1900396.01,2023-07-29,2023-12-27,Uttar Pradesh,14.7,1.1,0,0,5,181.5,315
Tata Altroz,XZ,Silver,Diesel,Manual,790220.42,2023-01-24,2023-03-20,Madhya Pradesh,19.2,1.6,0,0,5,205.9,368
Tata Punch,XE,Green,Petrol,Manual,648267.62,2023-04-21,2023-06-03,Haryana,22.6,1.8,0,0,5,172.8,257
Tata Tigor,XM,Silver,Petrol,Manual,905062.39,2024-06-17,2024-07-29,Punjab,23.6,1.5,0,0,5,173.9,372
Tata Nexon,XM,Grey,Diesel,Automatic,924606.7,2024-03-05,2024-07-22,Madhya Pradesh,21.6,1.8,0,0,5,192.3,358
Tata Tiago,XZ+ Lux,Red,Petrol,Automatic,597266.43,2022-12-23,2023-01-30,Gujarat,24.8,1.8,0,0,5,200.0,412
Tata Safari,XE,Copper,Petrol,Automatic,1882337.27,2023-08-08,2023-12-12,Punjab,15.7,1.3,0,0,5,187.2,251
Tata Altroz,XM,Green,Petrol,Manual,774828.94,2023-08-11,2023-12-05,Delhi,23.7,1.8,0,0,5,166.8,289
Tata Altroz,XZ+,White,Petrol,Manual,784516.15,2023-01-21,2023-02-08,Bihar,21.4,1.4,0,0,5,184.2,374
Tata Safari,XE,Copper,CNG,Manual,2374626.38,2023-02-11,2023-03-25,Gujarat,15.3,1.1,0,0,7,204.4,399
Tata Nexon,XZ,Black,Diesel,Manual,730078.85,2022-10-05,2023-03-05,Karnataka,17.9,1.3,0,0,5,166.6,259
Tata Nexon,XM,Bronze,Petrol,Manual,1124241.53,2023-10-07,2024-02-22,Haryana,18.1,1.8,0,0,5,208.5,427
Tata Tigor,XZ+,Copper,Diesel,Manual,915455.08,2022-11-18,2022-11-30,Telangana,24.6,1.6,0,0,5,202.9,355
Tata Altroz,XE,Copper,Petrol,Manual,822908.69,2023-02-01,2023-05-20,Karnataka,19.8,1.9,0,0,5,201.8,277
Tata Safari,XZ+,Blue,Diesel,Manual,1946490.36,2024-05-07,2024-08-22,Odisha,15.8,1.1,0,0,5,186.3,378
Tata Nexon,XZ,Silver,Electric,Automatic,1382118.99,2024-04-28,2024-06-19,Uttar Pradesh,21.0,0,30.6,6.2,5,178.1,450
Tata Harrier,XZ,White,Petrol,Manual,1596117.07,2023-10-18,2024-02-01,Madhya Pradesh,15.0,1.8,0,0,7,173.7,409
Tata Tigor,XE,Copper,Diesel,Manual,874435.97,2024-04-04,2024-07-14,Odisha,22.6,1.6,0,0,5,190.1,405
Tata Nexon,XZ,Copper,Electric,Automatic,924969.97,2023-12-12,2024-04-17,Gujarat,19.5,0,30.9,8.6,5,203.2,439
Tata Safari,XZ+,Copper,Petrol,Automatic,2022747.4,2023-02-25,2023-04-04,Gujarat,16.3,1.5,0,0,5,190.4,355
Tata Tiago,XZ+ Lux,Copper,Diesel,Manual,642557.95,2023-08-15,2023-12-18,Bihar,19.1,1.7,0,0,5,186.8,308
Tata Tigor,XZ,Green,Petrol,Manual,692517.26,2024-02-12,2024-05-22,Telangana,24.0,1.2,0,0,5,204.4,348
Tata Tiago,XM,Bronze,Petrol,Manual,659381.73,2024-03-11,2024-03-12,Karnataka,23.7,1.2,0,0,5,185.5,403
Tata Altroz,XE,Silver,Petrol,Manual,948198.58,2024-04-15,2024-07-05,Uttar Pradesh,24.6,1.7,0,0,5,208.5,428
Tata Punch,XZ,Black,Petrol,Manual,765757.22,2023-12-05,2024-05-30,Delhi,20.1,1.6,0,0,5,193.4,318
Tata Tiago,XE,Red,Electric,Manual,718778.68,2024-09-16,2025-02-26,Gujarat,20.9,0,37.2,7.6,5,206.5,285
Tata Safari,XM,Black,CNG,Automatic,2012611.65,2022-09-28,2023-01-27,Haryana,15.1,1.3,0,0,7,183.4,283
Tata Tigor,XM,Bronze,Diesel,Automatic,691344.95,2024-05-12,2024-07-18,Tamil Nadu,19.6,2.0,0,0,5,203.9,413
Tata Punch,XE,White,CNG,Manual,700718.91,2024-06-10,2024-10-20,Tamil Nadu,23.8,1.0,0,0,5,169.7,307
Tata Altroz,XZ,Bronze,Electric,Manual,914160.54,2022-12-03,2023-05-30,Bihar,20.8,0,47.9,6.6,5,174.7,322
Tata Nexon,XM,Green,Petrol,Manual,1302185.73,2023-07-01,2023-07-05,Bihar,21.5,2.0,0,0,5,167.5,328
Tata Safari,XZ+ Lux,Red,Diesel,Automatic,2105005.09,2024-01-28,2024-07-22,Bihar,15.5,1.1,0,0,5,171.7,362
Tata Altroz,XZ,Red,Diesel,Automatic,697173.67,2024-05-21,2024-07-18,Karnataka,19.2,1.7,0,0,5,196.4,254
Tata Safari,XM,Silver,Petrol,Manual,1914136.88,2023-12-18,2024-03-05,Rajasthan,15.0,1.7,0,0,7,190.6,357
Tata Safari,XM,Orange,Diesel,Automatic,2016856.48,2024-08-11,2024-09-30,Telangana,16.5,1.2,0,0,5,186.5,443
Tata Altroz,XZ,White,Petrol,Manual,778653.6,2024-06-28,2024-09-26,West Bengal,24.6,1.9,0,0,5,197.2,445
Tata Punch,XE,Copper,Diesel,Automatic,664945.08,2024-09-14,2025-01-07,Odisha,18.5,1.4,0,0,5,190.1,398
Tata Tiago,XZ+ Lux,White,Diesel,Manual,592744.04,2024-08-19,2024-09-30,West Bengal,24.7,1.9,0,0,5,193.6,445
Tata Tiago,XE,Grey,Diesel,Automatic,560648.11,2024-04-22,2024-07-19,Rajasthan,24.2,1.6,0,0,5,203.3,253
Tata Tigor,XZ+,Grey,Petrol,Manual,895791.86,2022-10-15,2022-11-23,Maharashtra,20.7,1.1,0,0,5,208.5,342
Tata Tigor,XZ,Silver,Petrol,Manual,753165.77,2024-03-06,2024-03-19,Kerala,20.3,1.6,0,0,5,196.2,416
Tata Safari,XZ,White,Petrol,Automatic,1787828.22,2023-04-06,2023-07-13,Karnataka,14.9,1.9,0,0,5,186.4,447
Tata Tigor,XE,Green,Petrol,Manual,838955.7,2022-12-03,2023-03-03,Maharashtra,24.1,1.8,0,0,5,193.7,296
Tata Punch,XZ+ Lux,Red,Petrol,Manual,691595.93,2024-09-01,2025-02-14,Punjab,19.1,1.9,0,0,5,197.4,270
Tata Punch,XZ+,Orange,Electric,Manual,620182.16,2024-05-06,2024-10-15,Maharashtra,23.9,0,35.8,6.5,5,201.5,432
Tata Safari,XE,Silver,Petrol,Automatic,2097456.23,2023-10-24,2024-01-05,Telangana,14.2,1.0,0,0,5,174.0,316
Tata Tigor,XZ,Green,Electric,Automatic,711331.53,2022-10-29,2022-11-05,Rajasthan,19.7,0,37.6,9.5,5,171.5,351
Tata Safari,XZ+,Orange,Diesel,Manual,2376061.05,2023-02-06,2023-02-12,Telangana,15.9,1.8,0,0,7,209.5,369
Tata Punch,XE,White,Electric,Manual,714292.71,2024-03-03,2024-03-23,Odisha,21.0,0,33.6,6.6,5,167.4,292
Tata Altroz,XZ+ Lux,Green,Diesel,Automatic,642919.87,2023-04-26,2023-05-12,Kerala,20.0,1.6,0,0,5,205.5,377
Tata Punch,XE,Black,Diesel,Manual,989801.97,2023-12-22,2024-02-27,Haryana,23.8,1.8,0,0,5,165.5,302
Tata Tiago,XM,Green,Diesel,Automatic,591668.34,2024-09-04,2025-02-15,Delhi,21.1,1.0,0,0,5,187.2,268
Tata Nexon,XZ,Copper,Petrol,Automatic,853627.34,2023-11-18,2024-03-25,Bihar,18.0,1.7,0,0,5,167.9,449
Tata Harrier,XZ+ Lux,Copper,Petrol,Manual,2348830.4,2023-04-08,2023-07-09,Gujarat,15.2,1.4,0,0,7,165.4,419
Tata Tigor,XZ+,Red,Petrol,Manual,670609.41,2024-08-08,2024-10-07,Bihar,23.6,2.0,0,0,5,201.7,450
Tata Tiago,XZ+,Silver,Diesel,Manual,707361.53,2023-01-15,2023-01-27,Rajasthan,23.1,1.3,0,0,5,188.1,270
Tata Tigor,XE,Black,Electric,Automatic,623622.69,2024-06-26,2024-07-25,Kerala,21.3,0,45.7,9.0,5,209.5,443
Tata Safari,XE,White,Diesel,Manual,1718048.6,2024-03-12,2024-06-04,West Bengal,15.3,1.2,0,0,5,180.6,417
Tata Punch,XZ+ Lux,Orange,Diesel,Manual,654864.66,2023-11-02,2023-11-27,West Bengal,21.2,1.9,0,0,5,208.2,405
Tata Altroz,XZ+ Lux,Orange,Diesel,Manual,931020.2,2022-10-18,2022-11-29,Haryana,21.4,1.2,0,0,5,208.3,316
Tata Harrier,XZ+,Silver,Electric,Manual,1938466.61,2023-10-04,2024-01-26,Uttar Pradesh,15.0,0,38.7,7.9,5,196.1,419
Tata Safari,XZ,Grey,Petrol,Manual,1519741.04,2023-01-26,2023-07-09,Telangana,14.6,1.3,0,0,7,196.8,397
